instance_class,cost_per_hour
db.t3.micro,0.018
db.t3.small,0.036
db.t3.medium,0.072
db.t3.large,0.144
db.t3.xlarge,0.288
db.t3.2xlarge,0.576
db.m5.large,0.192
db.m5.xlarge,0.384
db.m5.2xlarge,0.768
db.m5.4xlarge,1.536
db.m5.8xlarge,3.072
db.r5.large,0.240
db.r5.xlarge,0.480
db.r5.2xlarge,0.960
db.r5.4xlarge,1.920
db.r5.8xlarge,3.840
db.r5.12xlarge,5.760
db.r5.16xlarge,7.680
db.r6g.large,0.210
db.r6g.xlarge,0.420
db.r6g.2xlarge,0.840
db.r6g.4xlarge,1.680
db.r6g.8xlarge,3.360
db.r6g.12xlarge,5.040
db.r6g.16xlarge,6.720
db.r6i.large,0.252
db.r6i.xlarge,0.504
db.r6i.2xlarge,1.008
db.r6i.4xlarge,2.016
db.r6i.8xlarge,4.032
db.r6i.12xlarge,6.048
db.r6i.16xlarge,8.064
db.m6g.large,0.168
db.m6g.xlarge,0.336
db.m6g.2xlarge,0.672
db.m6g.4xlarge,1.344
db.m6g.8xlarge,2.688
db.m6g.12xlarge,4.032
db.m6g.16xlarge,5.376
db.m6i.large,0.204
db.m6i.xlarge,0.408
db.m6i.2xlarge,0.816
db.m6i.4xlarge,1.632
db.m6i.8xlarge,3.264
db.m6i.12xlarge,4.896
db.m6i.16xlarge,6.528
